incident_id,project_name,year,source,priority_type,reference,issue_category,issue_subtype,root_cause,impact,affected_contracts,contract_name,attack_surface,start_line,end_line,vulnerable_code
ACF-001,TBTCSystem,2020,TTWeb,High,https://consensys.net//diligence/audits/2020/02/thesis-tbtc-and-keep/,Access Control,Missing Modifier,"TBTCSystem.requestNewKeep is used by each new Deposit contract on creation. It calls BondedECDSAKeepFactory.openKeep, which sets the Deposit contract as the “owner,” a permissioned role within the created keep. openKeep also automatically allocates bonds from members registered to the application. The “application” from which member bonds are allocated is the tbtc system itself. Because requestNewKeep has no access controls, anyone can request that a keep be opened with msg.sender as the “owner,” and arbitrary signing threshold values:","Potential unauthorized invocation of requestNewKeep(uint256 _m, uint256 _n, uint256 _bond).",,TBTCSystem,"requestNewKeep(uint256 _m, uint256 _n, uint256 _bond)",265,273,"    function requestNewKeep(uint256 _m, uint256 _n, uint256 _bond)
        external
        payable
        returns (address)
    {
        IBondedECDSAKeepVendor _keepVendor = IBondedECDSAKeepVendor(keepVendor);
        IBondedECDSAKeepFactory _keepFactory = IBondedECDSAKeepFactory(_keepVendor.selectFactory());
        return _keepFactory.openKeep.value(msg.value)(_n, _m, msg.sender, _bond);
    }"
ACF-002,USSD2,2023,TTWeb,High,https://github.com/sherlock-audit/2023-05-USSD-judging/blob/main//008-H/875.md,Access Control,Missing Modifier,"I believe that mintRebalancer and burnRebalancer functions suppose only be called from USSDRebalancer, but it's not enforced and anyone can do it",Potential unauthorized invocation of burnRebalancer(uint256 amount).,,USSD,burnRebalancer(uint256 amount),208,210,"    function burnRebalancer(uint256 amount) public override {
        _burn(address(this), amount);
    }"
ACF-003,RoundFactory,2023,TTWeb,High,https://github.com/sherlock-audit/2023-03-Gitcoin-judging/blob/main//invalid/140.md,Access Control,Missing Modifier,"According to the ""Overview"" in the README, a program operator is supposed to manage a round like this: Each grant-giving organization will have an on-chain program, which manages it's rounds. However, within the RoundFactory#create() above, there is no validation to check wether or not the caller would be a program operator who has a Program Operator Role. As a result, any users can call the RoundFactory#create() above and they can freely create a round.","Potential unauthorized invocation of create(bytes calldata encodedParameters,   address ownedBy).",,RoundFactory,"create(bytes calldata encodedParameters,   address ownedBy)",92,110,"  function create(
    bytes calldata encodedParameters,
    address ownedBy
  ) external returns (address) {

    require(roundImplementation != address(0), ""roundImplementation is 0x"");
    require(alloSettings != address(0), ""alloSettings is 0x"");

    address clone = ClonesUpgradeable.clone(roundImplementation);

    emit RoundCreated(clone, ownedBy, payable(roundImplementation));

    IRoundImplementation(payable(clone)).initialize(
      encodedParameters,
      alloSettings
    );

    return clone;
  }"
ACF-004,BaseStrategyVault,2022,TTWeb,High,https://github.com/sherlock-audit/2022-12-notional-judging/blob/main//low/056.md,Access Control,Missing Modifier,Contracts that inherit from BaseStrategyVault and not include access control when calling their initialize function will be vulnerable to frontrunning calls to initialize.,"Potential unauthorized invocation of __INIT_VAULT(string memory name_,     uint16 borrowCurrencyId_).",,BaseStrategyVault,"__INIT_VAULT(string memory name_,     uint16 borrowCurrencyId_)",91,102,"    function __INIT_VAULT(
        string memory name_,
        uint16 borrowCurrencyId_
    ) internal onlyInitializing {
        _NAME = name_;
        _BORROW_CURRENCY_ID = borrowCurrencyId_;

        address underlyingAddress = _getNotionalUnderlyingToken(borrowCurrencyId_);
        _UNDERLYING_TOKEN = IERC20(underlyingAddress);
        _UNDERLYING_IS_ETH = underlyingAddress == address(0);
        _setupRole(DEFAULT_ADMIN_ROLE, NOTIONAL.owner());
    }"
ACF-005,CoolerRequest,2023,TTWeb,High,https://github.com/sherlock-audit/2023-01-cooler-judging/blob/main//025-M/199.md,Access Control,Missing Modifier,"Because is lack of access control on request() function, anyone can call it up and without any restriction create many different fake requests. This could seriously compromise the whole contract.","Potential unauthorized invocation of request(uint256 amount,     uint256 interest,     uint256 loanToCollateral,     uint256 duration).",,Cooler,"request(uint256 amount,     uint256 interest,     uint256 loanToCollateral,     uint256 duration)",74,86,"    function request (
        uint256 amount,
        uint256 interest,
        uint256 loanToCollateral,
        uint256 duration
    ) external returns (uint256 reqID) {
        reqID = requests.length;
        factory.newEvent(reqID, CoolerFactory.Events.Request);
        requests.push(
            Request(amount, interest, loanToCollateral, duration, true)
        );
        collateral.transferFrom(msg.sender, address(this), collateralFor(amount, loanToCollateral));
    }"
ACF-006,USSD1,2023,TTWeb,High,https://github.com/sherlock-audit/2023-05-USSD-judging/blob/main//008-H/895.md,Access Control,Missing Modifier,"I believe that mintRebalancer and burnRebalancer functions suppose only be called from USSDRebalancer, but it's not enforced and anyone can do it",Potential unauthorized invocation of mintRebalancer(uint256 amount).,,USSD,mintRebalancer(uint256 amount),204,206,"    function mintRebalancer(uint256 amount) public override {
        _mint(address(this), amount);
    }"
ACF-007,ProtectionPoolCycleManager,2023,TTWeb,High,https://github.com/sherlock-audit/2023-02-carapace-judging/blob/main//false/243.md,Access Control,Unprotected Initialization,There is no Access control in initialize() method. So anyone can frontrun the transaction and call that on deployer's behalf to gain access.,Potential unauthorized invocation of initialize().,,ProtectionPoolCycleManager,initialize(),50,52,"  function initialize() external initializer {
    __UUPSUpgradeableBase_init();
  }"
ACF-008,Log,2021,TTWeb,High,https://consensys.net//diligence/audits/2021/03/defi-saver/,Access Control,Missing Modifier,"DefiSaverLogger is used as a logging aggregator within the entire dapp, but anyone can create logs.","Potential unauthorized invocation of Log(address _contract,   address _caller,   string memory _logName,   bytes memory _data).",,Log,"Log(address _contract,   address _caller,   string memory _logName,   bytes memory _data)",1,8,"function Log(
    address _contract,
    address _caller,
    string memory _logName,
    bytes memory _data
) public {
    emit LogEvent(_contract, _caller, _logName, _data);
}"
ACF-009,CollateralManager1,2023,TTWeb,High,https://github.com/sherlock-audit/2023-03-teller-judging/blob/main//001-H/121.md,Access Control,Missing Modifier,"commitCollateral() lacks access control, as a result, anybody can commit collaterals for a borrower after the borrower submits a bid. The borrower will send more collaterals than necessary and might lose more collaterals during default.","Potential unauthorized invocation of commitCollateral(uint256 _bidId,     Collateral[] calldata _collateralInfo).",,CollateralManager,"commitCollateral(uint256 _bidId,     Collateral[] calldata _collateralInfo)",117,130,"    function commitCollateral(
        uint256 _bidId,
        Collateral[] calldata _collateralInfo
    ) public returns (bool validation_) {
        address borrower = tellerV2.getLoanBorrower(_bidId);
        (validation_, ) = checkBalances(borrower, _collateralInfo);

        if (validation_) {
            for (uint256 i; i < _collateralInfo.length; i++) {
                Collateral memory info = _collateralInfo[i];
                _commitCollateral(_bidId, info);
            }
        }
    }"
ACF-010,AccountManager,2022,TTWeb,High,https://github.com/sherlock-audit/2022-08-sentiment-judging/blob/main//info/246-h.md,Access Control,Missing Modifier,AccountManager.init() is missing an access control which allows anyone to call the init() function and become the owner of the contract. This also allows for potential frontrunning of the function allowing an attacker to frontrun the transaction to initialize the contract and become the owner.,Potential unauthorized invocation of init(IRegistry _registry).,,AccountManager,init(IRegistry _registry),68,73,"    function init(IRegistry _registry) external {
        if (initialized) revert Errors.ContractAlreadyInitialized();
        initialized = true;
        initPausable(msg.sender);
        registry = _registry;
    }"
