incident_id,project_name,attack_surface,matched_solidity_file,matched_start_line_est,matched_end_line_est
ACF-001,TBTCSystem,"requestNewKeep(uint256 _m, uint256 _n, uint256 _bond)",data/contracts/ttweb/TBTCSystem.sol,265,273
ACF-002,USSD2,burnRebalancer(uint256 amount),data/contracts/ttweb/USSD.sol,208,210
ACF-003,RoundFactory,"create(bytes calldata encodedParameters,   address ownedBy)",data/contracts/ttweb/RoundFactory.sol,92,110
ACF-004,BaseStrategyVault,"__INIT_VAULT(string memory name_,     uint16 borrowCurrencyId_)",data/contracts/ttweb/BaseStrategyVault.sol,91,102
ACF-005,CoolerRequest,"request(uint256 amount,     uint256 interest,     uint256 loanToCollateral,     uint256 duration)",data/contracts/ttweb/Cooler.sol,74,86
ACF-006,USSD1,mintRebalancer(uint256 amount),data/contracts/ttweb/USSD.sol,204,206
ACF-007,ProtectionPoolCycleManager,initialize(),data/contracts/ttweb/PremiumCalculator.sol,29,31
ACF-008,Log,"Log(address _contract,   address _caller,   string memory _logName,   bytes memory _data)",data/contracts/ttweb/Log.sol,1,8
ACF-009,CollateralManager1,"commitCollateral(uint256 _bidId,     Collateral[] calldata _collateralInfo)",data/contracts/ttweb/CollateralManager.sol,117,130
ACF-010,AccountManager,init(IRegistry _registry),data/contracts/ttweb/AccountManager.sol,68,73
ACF-011,LienToken,"_deleteLienPosition(uint256 collateralId, uint256 position)",data/contracts/ttweb/LienToken.sol,651,664
ACF-012,CrabNetting,checkOrder(Order memory _order),data/contracts/ttweb/CrabNetting.sol,447,449
ACF-013,PassThroughWalletImpl,initializer(InitParams calldata params_),data/contracts/ttweb/PassThroughWalletImpl.sol,78,85
ACF-014,DODO,"init(address maintainer,     address baseTokenAddress,     address quoteTokenAddress,     uint256 lpFeeRate,     address mtFeeRateModel,     uint256 i,     uint256 k,     bool isOpenTWAP)",data/contracts/defi_hack_ac/DVM.sol,1419,1469
ACF-015,EFLeverVault,"receiveFlashLoan(IERC20[] memory tokens,     uint256[] memory amounts,     uint256[] memory feeAmounts,     bytes memory userData)",data/contracts/defi_hack_iv/EFLeverVault.sol,310,327
ACF-016,Parity,"initWallet(address[] _owners, uint _required, uint _daylimit)",data/contracts/defi_hack_ac/WalletLibrary.sol,223,226
ACF-017,Rikkei Finance,"setOracleData(address rToken, oracleChainlink _oracle)",data/contracts/SimplePriceOracle/contracts/SimplePriceOracle.sol,29,31
ACF-018,Sandbox LAND,"_burn(address from, address owner, uint256 id)",data/contracts/Land/src/Land/erc721/ERC721BaseToken.sol,355,360
ACF-019,Bancor Protocol,"safeTransferFrom(IERC20Token _token, address _from, address _to, uint256 _value)",data/contracts/defi_hack_ac/BancorNetwork.sol,551,553
ACF-020,LPC,"_transfer(address sender,     address recipient,     uint256 amount)",data/contracts/defi_hack_iv/LPC.sol,1148,1244
ACF-021,88mph,"init(address newOwner,     string calldata tokenName,     string calldata tokenSymbol)",data/contracts/NFT/contracts/NFT.sol,39,57
ACF-022,MapleLoan,makePayment(uint256 amount_),data/contracts/code4rena/MapleLoan.sol,86,93
ACF-023,LenderPool,"withdrawInterest(uint256 _id, address _lender)",data/contracts/code4rena/LenderPool.sol,1,3
ACF-024,VaderPoolV2,"mintFungible(IERC20 foreignAsset,     uint256 nativeDeposit,     uint256 foreignDeposit,     address from,     address to)",data/contracts/code4rena/VaderPoolV2.sol,284,335
ACF-025,Dao,claimAllForMember(address member),data/contracts/code4rena/Dao.sol,276,285
ACF-026,MStableYieldSource,approveMax(),data/contracts/code4rena/MStableYieldSource.sol,61,65
ACF-027,FlashGovernanceArbiter,"assertGovernanceApproved(address sender,   address target,   bool emergency)",data/contracts/code4rena/FlashGovernanceArbiter.sol,60,81
ACF-028,CVE-2021-34272,owned(),data/contracts/cve/B2X.sol,35,37
ACF-029,CVE-2018-19830,UBSexToken(),data/contracts/cve/BAFCToken.sol,13,14
ACF-030,CVE-2019-15078,XBornID(),data/contracts/cve/XBORNID.sol,118,121
ACF-031,CVE-2018-19834,quaker(address wallet),data/contracts/cve/BOMBBA.sol,122,127
